id,label,lat,lng,weighted indegree,weighted outdegree
DZA," Algeria",28.033886,1.659626,-65.486001171,-53.340387160999995
AGO," Angola",-11.202692,17.873887,-16.400253752,-14.250515075000003
EGY," Egypt",26.820553,30.802498,-12.614998436,-40.47571927700001
BGD," Bangladesh",23.684994,90.356331,-108.967119152,-104.088359196
NER," Niger",17.607789,8.081666,-28.996744259,-33.20206582
LIE," Liechtenstein",47.166,9.555373,-6.299262525,-11.875969889
NAM," Namibia",-22.95764,18.49041,-27.669406148999993,-14.74408416
VEN," Venezuela",6.42375,-66.58973,-63.04701906100001,-75.80300163099999
BGR," Bulgaria",42.733883,25.48583,-61.51311930800001,-57.668153743999994
BOL," Bolivia",-16.290154,-63.588653,-20.778216159,-16.94619691
GHA," Ghana",7.946527,-1.023194,22.995633624000003,11.036345461999998
PAK," Pakistan",30.375321,69.345116,-163.57233964100004,-129.80494585700004
CPV," Cape Verde",15.120142,-23.605187,0.0,2.186914538
JOR," Jordan",30.585164,36.238414,-77.258386746,-62.96221469
LBR," Liberia",6.428055,-9.429499,1.3363346669999996,1.7395166810000007
LBY," Libya",26.3351,17.228331,-131.086572512,-144.26978176699998
MYS," Malaysia",4.210484,101.975766,-42.45734108100001,-53.58733393400001
PRI," Puerto Rico",18.220833,-66.590149,0.0,0.0
MYT," Mayotte",-12.8275,45.166244,0.0,0.0
PRK," Korea Democratic People R. (Pyongyang)",39.031859,125.753765,-84.98356062000003,-102.60112919599999
PSE," Occupied Palestinian Territory",31.898043,35.204269,-126.38948436100006,-97.84171912299996
TZA," Tanzania",-6.369028,34.888822,0.30372734199999973,-2.187260780000002
BWA," Botswana",-22.328474,24.684866,1.8772134010000006,1.0788925859999994
KHM," Cambodia",12.565679,104.990963,-15.940319157999996,-10.388584738999997
TTO," Trinidad and Tobago",10.691803,-61.222503,-14.51209164,-23.599840379
PRY," Paraguay",-23.442503,-58.443832,-12.251093418,-0.873972959
HKG," Hong Kong Special Adm. Region of China",22.396428,114.109497,1.900468509,0.5044379430000001
SAU," Saudi Arabia",23.885942,45.079162,-101.35829901199999,-100.565080931
LBN," Lebanon",33.854721,35.862285,-85.52191901599997,-81.64899302299997
SVN," Slovenia",46.151241,14.995463,0.0,0.0
BFA," Burkina Faso",12.238333,-1.561593,-25.212839431999996,-24.945380269
SVK," Slovakia",48.669026,19.699024,-6.314479510000001,-19.24457535
MRT," Mauritania",21.00789,-10.940835,-42.74012508199999,-48.994030951999996
HRV," Croatia",45.1,15.2,-37.537644884,-18.089726995
CHL," Chile",-35.675147,-71.542969,4.107623166999999,-9.355628824999998
CHN," China",35.86166,104.195397,47.41659758299999,60.22428705200001
KNA," Saint Kitts-Nevis",17.357822,-62.782998,0.7094377749999999,0.7931182029999999
JAM," Jamaica",18.109581,-77.297508,-17.92932124,-9.691074946
SMR," San Marino",43.94236,12.457777,0.0,3.595809292
GIB," Gibraltar",36.140751,-5.353585,0.0,0.0
DJI," Djibouti",11.825138,42.590275,-13.059387327999998,-15.682132335
GIN," Guinea",9.945587,-9.696645,-8.183484203,-1.4532556069999998
FIN," Finland",61.92411,25.748151,-26.030917985000002,-13.859153693999998
URY," Uruguay",-32.522779,-55.765835,-23.531164110999995,-13.715911185000005
VAT," Holy See (Vatican City)",41.902179,12.453601,-41.932160884000005,-46.17857375500001
SYC," Seychelles",-4.679574,55.491977,6.454515262000001,2.1616617620000005
NPL," Nepal",28.394857,84.124008,-48.117483175,-34.433299049999995
LAO," Laos",19.85627,102.495496,4.805673317,0.5243172440000012
YEM," Yemen",15.552727,48.516388,-154.54862787599995,-146.894308713
PHL," Philippines",12.879721,121.774017,-96.00889565599998,-97.25684964500002
ZAF," South Africa",-30.559482,22.937506,-59.707073483,-79.38430020400003
KIR," Kiribati",1.870942,-157.362859,6.398305427,4.154433188
TGO," Togo",8.619543,0.824782,0.2171576049999997,-1.0232065279999991
VIR," United States Virgin Islands",18.335765,-64.896335,0.0,0.0
SYR," Syria",34.802075,38.996815,-306.9929572230001,-308.39276846900003
MAC," Macao Special Adm. Region of China",22.198745,113.543873,-0.175787533,-0.707495241
NIC," Nicaragua",12.865416,-85.207229,-16.282906352999998,-13.556119012
MLT," Malta",35.937496,14.375416,-20.750063872,-18.068953777999997
KAZ," Kazakhstan",48.019573,66.923684,14.092275682999999,10.584939266000001
TCA," Turks and Caicos Islands",21.694025,-71.797928,0.0,0.0
PYF," French Polynesia",-17.679742,-149.406843,0.0,0.0
NIU," Niue",-19.054445,-169.867233,0.0,0.0
DMA," Dominica",15.414999,-61.370976,-1.174933595,-0.800062434
GBR," United Kingdom",55.378051,-3.435973,-157.46546990900012,-163.88799078699995
BEN," Benin",9.30769,2.315834,-0.5697551110000005,2.429497026
GUF," French Guiana",3.933889,-53.125782,0.0,0.0
BEL," Belgium",50.503887,4.469936,-126.966559075,-130.82010054199998
DEU," Germany",51.165691,10.451526,-146.50333435100003,-166.65063532599996
GUM," Guam",13.444304,144.793731,0.0,0.0
LKA," Sri Lanka",7.873054,80.771797,-12.373510256999998,-30.708581142999996
FLK," Falkland Islands (Malvinas)",-51.796253,-59.523613,0.0,0.0
PCN," Pitcairn",-24.376754,-128.324238,0.0,0.0
GUY," Guyana",4.860416,-58.93018,-10.265146689999998,-8.509125601999997
CRI," Costa Rica",9.748917,-83.753428,-24.681789361999996,-15.057327604
COK," Cook Islands",-21.236736,-159.777671,0.910306442,1.1048412969999999
MAR," Morocco",31.791702,-7.09262,-38.08901407100001,-36.570759961000014
ROM," Romania",45.943161,24.96676,0.0,0.0
MNP," Northern Mariana Islands",15.0979,145.6739,0.0,0.0
LSO," Lesotho",-29.609988,28.233608,2.5074782159999995,-1.6630025049999997
HUN," Hungary",47.162494,19.503304,-29.934829207000003,-27.975505111
TKM," Turkmenistan",38.969719,59.556278,-8.237202493,-5.508700639999998
SUR," Suriname",3.919305,-56.027783,0.663668661,-0.8254523309999997
NLD," Netherlands",52.132633,5.291266,-95.76007688199999,-106.06230693799998
BMU," Bermuda",32.3078,-64.7505,-4.159196070999999,-4.339128444
TCD," Chad",15.454166,18.732207,-31.906016522999998,-25.429193333999997
GEO," Georgia",32.165622,-82.900075,-3.171250142,-1.845557469
MNG," Mongolia",46.862496,103.846656,4.521612722999999,2.2184560419999997
MHL," Marshall Islands",11.324691,166.841742,-1.914742436,-1.988755245
MTQ," Martinique",14.641528,-61.024174,0.0,0.0
BLZ," Belize",17.189877,-88.49765,-15.269499719,-18.378856922
NFK," Norfolk Island",-29.040835,167.954712,0.0,0.0
MMR," Myanmar",21.916221,95.955974,-14.882020846,-7.25644589
AFG," Afghanistan",33.93911,67.709953,-178.639292952,-191.30358283900003
BDI," Burundi",-3.373056,29.918886,-27.236521671,-21.781861066
VGB," British Virgin Islands",18.420695,-64.639968,0.0,0.0
BLR," Belarus",53.709807,27.953389,-12.283012175000003,-7.8175078629999994
GRD," Grenada",12.1165,-61.679,-4.577794237999999,-4.379690153
TKL," Tokelau",-9.2002,-171.8484,0.0,0.0
GRC," Greece",39.074208,21.824312,-92.05381196099998,-100.00247122700004
GRL," Greenland",71.706936,-42.604303,0.0,0.0
SHN," Saint Helena",-15.96501,-5.708924,-0.790632804,0.0
AND," Andorra",42.506285,1.521801,-3.812228457,-2.466687665
MOZ," Mozambique",-18.665695,35.529562,-3.388096541,-1.6188596110000006
TJK," Tajikistan",38.861034,71.276093,-34.809628429,-27.945190818999997
THA," Thailand",15.870032,100.992541,-89.63787863500002,-76.798176708
HTI," Haiti",18.971187,-72.285215,-39.95944782599999,-33.198264851
MEX," Mexico",23.634501,-102.552784,-57.97812268399999,-46.52286944299999
ANT," Netherlands Antilles",12.20189,-68.262382,0.0,0.0
ZWE," Zimbabwe",-19.015438,29.154857,-63.593012730999995,-57.35216914200001
LCA," Saint Lucia",13.909444,-60.978893,-2.357974016,-2.673132045
IND," India",20.593684,78.96288,-67.33693793399998,-86.613687629
