id,label,lat,lng,indegree,outdegree,closnesscentrality,betweenesscentrality
DZA," Algeria",28.033886,1.659626,44,48,0.565597667638484,0.0011030851511166962
AGO," Angola",-11.202692,17.873887,25,23,0.5201072386058981,0.004030032046328831
EGY," Egypt",26.820553,30.802498,89,84,0.6360655737704918,0.0057658760592824276
BGD," Bangladesh",23.684994,90.356331,48,48,0.563953488372093,5.591535485751369E-4
NER," Niger",17.607789,8.081666,16,11,0.49489795918367346,1.1747397258357713E-4
LIE," Liechtenstein",47.166,9.555373,5,6,0.485,0.0
NAM," Namibia",-22.95764,18.49041,10,10,0.5012919896640827,6.812705513257104E-5
VEN," Venezuela",6.42375,-66.58973,55,58,0.5843373493975904,0.0034624929085022302
BGR," Bulgaria",42.733883,25.48583,39,41,0.5558739255014327,2.5419526194880106E-4
BOL," Bolivia",-16.290154,-63.588653,27,27,0.5286103542234333,1.245386295559785E-4
GHA," Ghana",7.946527,-1.023194,35,34,0.5434173669467787,0.001230231592431611
PAK," Pakistan",30.375321,69.345116,75,69,0.6043613707165109,0.0025244277286443793
CPV," Cape Verde",15.120142,-23.605187,0,1,0.34330985915492956,0.0
JOR," Jordan",30.585164,36.238414,54,59,0.5861027190332326,8.824767540770541E-4
LBR," Liberia",6.428055,-9.429499,12,15,0.5091863517060368,2.4482231938141135E-4
LBY," Libya",26.3351,17.228331,52,48,0.5623188405797102,0.0011891986282482577
MYS," Malaysia",4.210484,101.975766,63,55,0.5808383233532934,0.004221889962672882
PRI," Puerto Rico",18.220833,-66.590149,0,0,0.0,0.0
MYT," Mayotte",-12.8275,45.166244,0,0,0.0,0.0
PRK," Korea Democratic People R. (Pyongyang)",39.031859,125.753765,34,39,0.5495750708215298,9.634506811438401E-4
PSE," Occupied Palestinian Territory",31.898043,35.204269,56,50,0.5705882352941176,7.884870763028913E-4
TZA," Tanzania",-6.369028,34.888822,29,29,0.532967032967033,0.0016139722988222343
BWA," Botswana",-22.328474,24.684866,9,12,0.5012919896640827,1.6730128596244637E-4
KHM," Cambodia",12.565679,104.990963,24,24,0.5257452574525745,6.07802505313003E-4
TTO," Trinidad and Tobago",10.691803,-61.222503,14,18,0.5145888594164456,2.2608448519980873E-4
PRY," Paraguay",-23.442503,-58.443832,16,17,0.5052083333333334,1.2593206032065662E-5
HKG," Hong Kong Special Adm. Region of China",22.396428,114.109497,2,2,0.48743718592964824,0.0
SAU," Saudi Arabia",23.885942,45.079162,86,86,0.6381578947368421,0.004792202068096653
LBN," Lebanon",33.854721,35.862285,51,45,0.5574712643678161,4.7431302135619445E-4
SVN," Slovenia",46.151241,14.995463,0,0,0.0,0.0
BFA," Burkina Faso",12.238333,-1.561593,19,13,0.5012919896640827,4.272493532745663E-4
SVK," Slovakia",48.669026,19.699024,27,28,0.5201072386058981,8.884185770856014E-5
MRT," Mauritania",21.00789,-10.940835,16,19,0.5091863517060368,1.6379754799507283E-4
HRV," Croatia",45.1,15.2,29,33,0.5418994413407822,1.4867782197394813E-4
CHL," Chile",-35.675147,-71.542969,46,45,0.5606936416184971,7.647493978948962E-4
CHN," China",35.86166,104.195397,139,142,0.7886178861788617,0.056332075227730136
KNA," Saint Kitts-Nevis",17.357822,-62.782998,2,2,0.4801980198019802,0.0
JAM," Jamaica",18.109581,-77.297508,22,21,0.522911051212938,5.816665538804408E-4
SMR," San Marino",43.94236,12.457777,0,1,0.40794979079497906,0.0
GIB," Gibraltar",36.140751,-5.353585,0,0,0.0,0.0
DJI," Djibouti",11.825138,42.590275,16,15,0.5091863517060368,5.1541039966773055E-5
GIN," Guinea",9.945587,-9.696645,25,28,0.5286103542234333,0.0019598585336444902
FIN," Finland",61.92411,25.748151,40,35,0.5464788732394367,3.331084443958602E-4
URY," Uruguay",-32.522779,-55.765835,29,28,0.5300546448087432,1.6157692486582366E-4
VAT," Holy See (Vatican City)",41.902179,12.453601,22,26,0.5286103542234333,3.1681770779576785E-5
SYC," Seychelles",-4.679574,55.491977,3,5,0.48866498740554154,2.4087831064180146E-4
NPL," Nepal",28.394857,84.124008,32,33,0.5403899721448467,3.045302962809228E-4
LAO," Laos",19.85627,102.495496,18,18,0.5159574468085106,3.71382125552759E-5
YEM," Yemen",15.552727,48.516388,51,48,0.563953488372093,8.261088308772292E-4
PHL," Philippines",12.879721,121.774017,62,64,0.5969230769230769,0.0025338354183603623
ZAF," South Africa",-30.559482,22.937506,38,48,0.5689149560117303,0.0023322105300928237
KIR," Kiribati",1.870942,-157.362859,4,3,0.485,0.0
TGO," Togo",8.619543,0.824782,9,12,0.46634615384615385,1.0326213460155011E-4
VIR," United States Virgin Islands",18.335765,-64.896335,0,0,0.0,0.0
SYR," Syria",34.802075,38.996815,93,87,0.6402640264026402,0.0045073842882255915
MAC," Macao Special Adm. Region of China",22.198745,113.543873,1,1,0.4419134396355353,0.0
NIC," Nicaragua",12.865416,-85.207229,23,24,0.5187165775401069,2.0370784625801426E-4
MLT," Malta",35.937496,14.375416,14,17,0.5091863517060368,5.3059206485994984E-5
KAZ," Kazakhstan",48.019573,66.923684,33,32,0.5359116022099447,2.768344712666285E-4
TCA," Turks and Caicos Islands",21.694025,-71.797928,0,0,0.0,0.0
PYF," French Polynesia",-17.679742,-149.406843,0,0,0.0,0.0
NIU," Niue",-19.054445,-169.867233,0,0,0.0,0.0
DMA," Dominica",15.414999,-61.370976,2,2,0.48258706467661694,0.0
GBR," United Kingdom",55.378051,-3.435973,146,145,0.7983539094650206,0.0466929326828515
BEN," Benin",9.30769,2.315834,12,14,0.5025906735751295,2.90974485935768E-4
GUF," French Guiana",3.933889,-53.125782,0,0,0.0,0.0
BEL," Belgium",50.503887,4.469936,67,71,0.61198738170347,0.002701157857124648
DEU," Germany",51.165691,10.451526,109,113,0.7054545454545454,0.012026849322015948
GUM," Guam",13.444304,144.793731,0,0,0.0,0.0
